t_sec,T_des_target_N,T_des_active_N,T_meas_N,ee_x_m,ee_y_m,ee_z_m,ee_des_x_m,ee_des_y_m,ee_des_z_m
1779787781.9258223,10.0,0.9999984399999985,0.02428879993199968,0.24754410542295124,-0.01056529719554632,0.5530493981180453,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.9358344,10.0,1.0200441299999987,0.03130399456191624,0.24754271623963822,-0.010567467644579342,0.5530511952434448,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.9458432,10.0,1.0400472979999986,0.05033083767007802,0.24754259244994892,-0.010564860081416072,0.5530485366254658,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.9558306,10.0,1.0599968239999984,0.05076928359260894,0.24754197037885312,-0.010565346959625759,0.5530499004334812,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.9658825,10.0,1.0799947219999984,0.044605213240072675,0.24754178633348378,-0.01056466517806356,0.5530490618416865,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.975861,10.0,1.0999631859999983,0.04433196258197468,0.24754032430418443,-0.01056434571648503,0.5530484018658474,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.9859042,10.0,1.120096741999998,0.05370279410858066,0.24753968648116387,-0.010563736420881015,0.5530471171494674,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.995831,10.0,1.1400279939999982,0.06146594889830002,0.24753776199704436,-0.010563758540150844,0.5530481409495034,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.0058227,10.0,1.1600337259999984,0.059754596343976826,0.24753778421012235,-0.010562714033987973,0.5530493387508142,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.0158155,10.0,1.1799995639999985,0.061200165185188074,0.24753707852709278,-0.010563253499206305,0.5530493945541086,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.025845,10.0,1.1999938159999983,0.06499088410993331,0.2475362833339443,-0.010565424050473735,0.5530471361549146,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.0358546,10.0,1.2201043279999984,0.08070269944025955,0.24753567827080572,-0.010562779425888904,0.5530460677592974,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.04582,10.0,1.2400952539999983,0.08886579718804555,0.24753633657940632,-0.010562648554619984,0.5530465253921661,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.055824,10.0,1.2600885619999982,0.08607353984212972,0.24753623684972828,-0.010561733507753085,0.553047582229585,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.0658386,10.0,1.2799817419999984,0.09299376518053452,0.24753502949071243,-0.01056067782922764,0.5530463214294717,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.075861,10.0,1.3000632399999987,0.10211079539093111,0.24753453266831682,-0.010561604646629297,0.5530473342064426,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.085863,10.0,1.320015389999999,0.11237695441014289,0.2475344531852266,-0.010561895875371681,0.5530462856922873,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.0958662,10.0,1.340135741999999,0.12311489111475453,0.2475336209256987,-0.010561485494952602,0.5530456446455798,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.1058273,10.0,1.3600072599999988,0.12209399563588,0.24753345992377915,-0.0105623450316465,0.5530445894332373,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.1158154,10.0,1.3799477679999985,0.1279601081974202,0.24753319016980493,-0.010561198929173952,0.5530466630464735,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.125843,10.0,1.4000361199999989,0.12698441973231933,0.24753218620850223,-0.010561888972004994,0.553046512052335,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.1358278,10.0,1.4201150719999989,0.13149994121094188,0.24753298179917246,-0.010561968217524986,0.5530444638844401,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.1458423,10.0,1.4400016779999985,0.14390153732189614,0.2475318704826653,-0.010562323097907519,0.5530443456144853,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.155824,10.0,1.4600138039999986,0.16123240813041917,0.2475306234930253,-0.010561034506762997,0.5530454180531797,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.1658342,10.0,1.4800421399999988,0.17244698026924868,0.2475313225779102,-0.010561197663691959,0.553045338132284,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.175849,10.0,1.5000889119999985,0.1766704877509195,0.2475310779106987,-0.010560145393579952,0.5530441197553547,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787782.185814,10.0,1.5200061159999987,0.1723330411834397,0.24753062419260816,-0.010562184586885256,0.5530446818355308,0.24754494657087256,-0.010846458000035305,0.553115630809717
